id,en_sent,en_amr,cn_sent,cn_amr,fa_sent,fa_amr
13,My drawing was not a picture of a hat .,( / : polarity - : ( / : ( / : ( / ) ) ) : ( / ) ),我 画 的 不 是 帽子 ，,( / : ( ) ( / : ( ) ( / : ( ) ( / ) ) ) : polarity ( ) ( / - ) ),اما نقاشی من شکل کلاه نبود .,( / : ( / : polarity - : ( / : ( / ) ) : ( / ) ) )
14,It was a picture of a boa constrictor digesting an elephant .,( / : ( / ) : arg1 ( / : ( / ) : ( / : arg1 ( / ) ) ) ),是 一 条 巨蟒 在 消化 着 一 头 大象 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) : arg1 ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) ),تصویر مار بوآ بود که فیلی را هضم می‌کرد .,( / : ( / : ( / ) : ( / : arg1 ( / ) ) ) )
15,"But since the grown - ups were not able to understand it , I made another drawing : I drew the inside of the boa constrictor , so that the grown - ups could see it clearly .",( / : ( / : ( / : arg0 ( / ) : arg1 ( / : mod ( / ) ) : ( / : arg0 ( / : : arg1 ( / : arg0 ( / ) : arg1 ( / ) ) ) ) ) : ( / : arg0 : arg1 ( / : part-of ( / : mod ( / ) ) ) : purpose ( / : arg1 ( / : arg0 : arg1 ( / ) : ( / ) ) ) ) ) ),既然 大人们 不 能够 理解 。 于是 我 又 把 巨蟒 肚子 里 的 情况 画 了 出来 ， 以便 让 大人们 能够 看懂 。,( / : arg1 ( ) ( / : arg0 ( ) ( / ) : ( ) ( / ) : arg1 ( ) ( / ) ) : ( ) ( / : arg0 ( ) ( / ) : mod ( ) ( / ) : ( ) ( / ) : arg1 ( ) ( / : ( ) ( / : part-of ( ) ( / ) ) ) : purpose ( ) ( / : arg1 ( ) ( / ) : ( ) ( / : arg1 ( ) ( / : arg0 ( ) ( / ) ) ) ) ) ),آن وقت من داخل شکم مار بوآ را کشیدم تا آدم بزرگ‌ها بتوانند بفهمند .,( / : arg0 ( / ) : arg1 ( / : part-of ( / : part-of ( / : mod ( / ) ) ) ) : purpose ( / : arg1 ( / : arg0 ( / : mod ( / ) ) ) ) )
16,They always need to have things explained .,( / : arg0 ( / ) : arg1 ( / ) : ( / ) ),这些 大人 总是 需要 解释 。,( / : arg0 ( ) ( / : ( ) ( / ) ) : ( ) ( / ) : arg1 ( ) ( / ) ),آدم بزرگ‌ها همیشه نیاز به توضیح دارند .,( / : arg0 ( / : ( / ) ) : arg1 ( / : arg1 ) : ( / ) )
17,"My Drawing Number Two looked like this : The grown - ups ' response , this time , was to advise me to lay aside my drawings of boa constrictors , whether from the inside or the outside , and devote myself instead to geography , history , arithmetic and grammar .",( / : op1 ( / : arg0 ( / : : ( / : op1 : op2 : op3 ) : poss ) : arg1 ( / ) ) : op2 ( / : arg0 ( / ) : arg1 ( / ) : arg2 ( / : arg0 : arg1 : arg2 ( / : op1 ( / : arg0 : arg1 ( / : ( / : arg0 ) : ( / : mod ( / ) : mod ( / : op1 ( / ) : op2 ( / ) ) ) ) : arg2 ( / ) ) : op2 ( / : arg0 : arg1 : arg2 ( / : op1 ( / ) : op2 ( / ) : op3 ( / ) : ( / ) ) : ( / : arg2 ) ) ) ) : ( / : mod ( / ) ) ) ),我 的 第二 号 作品 是 这样 的 ： 大人们 劝 我 把 这些 画 着 开 着 肚皮 的 ， 或 闭上 肚皮 的 蟒蛇 的 图画 放 在 一边 ， 还是 把 兴趣 放 在 地理 、 历史 、 算术 、 语法 上 。,( / : arg0 ( ) ( / : poss ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / ) : ( ) ( / : arg1 ( ) ( / : arg0 ( ) ( / ) : arg1 ( ) ( / ) : arg2 ( ) ( / : op1 ( ) ( / : arg0 ( ) ( / ) : arg1 ( ) ( / : mod ( ) ( / : ( ) ( / ) : arg1 ( ) ( / : ( ) ( / : op1 ( ) ( / : arg1 ( ) ( / ) : ( ) ( / ) ) : op2 ( ) ( / : arg1 ( ) ( / ) ) ) ) ) ) : arg2 ( ) ( / ) ) : op2 ( ) ( / : arg1 ( ) ( / ) : mod ( ) ( / ) : arg2 ( ) ( / : op1 ( ) ( / ) : op2 ( ) ( / ) : op3 ( ) ( / ) : op3 ( ) ( / ) ) ) ) ) ) ),تصویر شماره 2 من چنین بود ، آدم بزرگ‌ها به من نصیحت کردند که کشیدن مار بوآی باز یا بسته را کنار بگذارم و بیشتر به جغرافیا و تاریخ و حساب و دستور بپردازم .,( / : op1 ( / : arg1 ( / ) : arg2 ( / : : ( / : op1 : op2 : op3 ) : poss ( / ) ) ) : op2 ( / : arg0 ( / : mod ( / ) ) : arg1 : arg2 ( / : op1 ( / : arg0 : arg1 ( / : ( / : mod ( / ) : mod ( / : op1 ( / ) : op2 ( / ) ) ) ) ) : op2 ( / : arg0 : arg1 ( / : op1 ( / ) : op2 ( / ) : op3 ( / ) : ( / : ( / ) ) ) ) ) ) )
18,"That is why , at the age of six , I gave up what might have been a magnificent career as a painter .",( / : arg0 ( / ) : arg1 ( / : arg0 ( / ) : arg1 ( / : mod ( / ) : ( / : ( / ) ) ) : time ( / : arg1 : ( / : quant 6 : unit ( / ) ) ) ) ),就 这样 ， 在 六 岁 的 那 年 ， 我 就 放弃 了 当 画家 这 一 美好 的 职业 。,( / : arg0 ( ) ( / ) : mod ( ) ( / ) : ( ) ( / ) : arg1 ( ) ( / : mod ( ) ( / ) : ( ) ( / : arg1 ( ) ( / : arg1 ( ) ( / ) ) ) : mod ( ) ( / ) : quant ( ) ( / ) ) : time ( ) ( / : arg0 ( ) ( / ) : arg1 ( ) ( / : quant ( ) ( / 6 ) : unit ( ) ( / ) ) ) : ( ) ( / : mod ( ) ( / ) ) ),این بود که در شش سالگی از کار زیبای نقاشی دست کشیدم .,( / : arg0 ( / ) : arg1 ( / : arg0 ( / ) : arg1 ( / : mod ( / ) ) : time ( / : arg1 ( / ) : ( / : quant 6 : unit ( / ) ) ) ) )
19,I had been disheartened by the failure of my Drawing Number One and my Drawing Number Two .,( / : arg0 ( / : ( / : op1 ( / : : ( / : op1 : op2 : ) ) : op2 ( / : : ( / : op1 : op2 : ) ) : poss ) ) : ( / ) ),我 的 第一 号 、 第二 号 作品 的 不 成功 ， 使 我 泄 了 气 。,( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / : op1 ( ) ( / : ( ) ( / : op1 ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : op2 ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) : poss ( ) ( / ) ) ) ) : arg0 ( ) ( / ) ),از نامرادی تصویر شماره ۱ و تصویر شماره ۲ خود دلسرد شده بودم .,( / : ( / ) : ( / : arg0 ( / : op1 ( / : ( / : op1 : op2 : ) ) : op2 ( / : ( / : op1 : op2 : ) ) : poss ) ) )
20,"Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .",( / : ( / : polarity - : ( / ) : arg1 ( / ) : ( / ) : mod ( / ) ) : ( / : ( / : ( / ) : arg1 ( / ) : arg2 : ( / ) : mod ( / ) ) ) ),这些 大人们 ， 靠 他们 自己 什么 也 弄 不 懂 ， 还 得 老是 不断 地 给 他们 作 解释 。,( / : arg1 ( ) ( / : polarity ( ) ( / - ) : ( ) ( / : arg1 ( ) ( / : mod ( ) ( / ) : ( ) ( / : arg1 ( ) ( / : mod ( ) ( / ) ) ) ) ) : arg1 ( ) ( / : mod ( ) ( / ) ) : mod ( ) ( / ) ) : arg2 ( ) ( / : arg1 ( ) ( / : arg1 ( ) ( / : ( ) ( / ) ) : arg1 ( ) ( / ( ) ) ) : ( ) ( / ) : mod ( ) ( / ) ) ),آدم‌ بزرگ‌ها هیچ‌وقت به تنهایی چیزی نمی‌فهمند و برای بچه‌ها هم خسته‌کننده است که همیشه به ایشان توضیح بدهند .,( / : ( / : polarity - : arg1 ( / : mod ( / ) ) : arg2 ( / ) : ( / ) : ( / ) ) : ( / : ( / : ( / ) : arg2 : ( / ) ) : arg1 ) )
21,"So then I chose another profession , and learned to pilot airplanes .",( / : arg1 ( / : ( / : arg0 ( / ) : arg1 ( / : mod ( / ) ) ) : ( / : arg0 : arg1 ( / : arg0 : arg1 ( / ) ) ) ) ),后来 ， 我 只好 选择 了 另外 一 个 职业 ， 我 学会 了 开 飞机 。,( / : ( ) ( / : arg1 ( ) ( / : arg0 ( ) ( / ) : ( ) ( / ) : arg1 ( ) ( / : ( ) ( / ) : ( ) ( / ) : mod ( ) ( / ) ) : mod ( ) ( / ) ) : ( ) ( / : arg0 ( ) ( / ) : ( ) ( / ) : arg1 ( ) ( / : arg1 ( ) ( / ) : arg0 ( ) ( / ) ) ) ) ),بنابراین ناچار شدم شغل دیگری برای خود انتخاب کنم و این بود که خلبانی یاد گرفتم .,( / : arg1 ( / : arg1 ( / ) : ( / : arg0 : arg1 ( / : mod ( / ) ) : : ( / : arg1 ( / : arg0 : arg1 ( / ) ) ) ) ) )
22,I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .,( / : ( / : arg0 : location ( / : ( / : ( / ) ) ) ) : ( / : arg0 ( / ) : arg1 ( / ) : degree ( / ) ) ),世界 各 地 差不多 都 飞到 过 。 的确 ， 地理学 帮 了 我 很 大 的 忙 。,( / : ( ) ( / : arg1 ( ) ( / : ( ) ( / : location ( ) ( / ) ) ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) : arg0 ( ) ( / ) ) : ( ) ( / : arg0 ( ) ( / ) : ( ) ( / ) : arg1 ( ) ( / ) : degree ( ) ( / : degree ( ) ( / ) ) : ( ) ( / ) ) ),من به همه جای دنیا کم و بیش پرواز کردم و براستی که جغرافی خیلی به دردم خورد .,( / : ( / : arg0 ( / ) : location ( / : ( / ) ) : ( / ) ) : ( / : arg1 ( / ) : : degree ( / ) ) )
23,At a glance I can distinguish China from Arizona .,( / : arg1 ( / : arg0 ( / ) : arg1 ( / : : ( / : op1 ) ) : ( / : : ( / : op1 ) ) : manner ( / : arg0 ) ) ),我 一眼 就 能 分辨 出 中国 和 亚里桑那 。,( / : arg0 ( ) ( / : manner ( ) ( / ) : ( ) ( / ) : arg1 ( ) ( / : op1 ( ) ( / ) : ( ) ( / ) ) : arg0 ( ) ( / ) ) ),در نگاه اول می‌توانستم چین را از آریزونا تشخیص بدهم .,( / : arg0 ( / ) : arg1 ( / : arg0 : arg1 ( / : : ( / : op1 ) ) : ( / : : ( / : op1 ) ) : manner ( / : arg0 : ( / : ) ) ) )
24,"If one gets lost in the night , such knowledge is valuable .",( / : arg1 ( / : ( / ) ) : condition ( / : arg1 ( / ) : ( / : time ( / : ( / ) ) ) ) ),要是 夜里 迷失 了 航向 ， 这 是 很 有用 的 。,( / condition : arg1 ( ) ( / : ( ) ( / ) : arg1 ( ) ( / ) : time ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) ),این اگر آدم شب راه گم کرده باشد خیلی فایده دارد .,( / : ( / ) : condition ( / : ( / ) : arg1 ( / ) : time ( / : ( / ) ) ) : ( / ) )
25,In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence .,( / : arg0 ( / ) : arg1 ( / : quant ( / : mod ( / ) ) : ( / : arg0 ( / : mod ( / ) ) ) ) : quant ( / : mod ( / ) ) : time ( / : ( / : mod ( / ) ) ) ),这样 ， 在 我 的 生活 中 ， 我 跟 许多 严肃 的 人 有 过 很多 的 接触 。,( / : arg1 ( ) ( / : ( ) ( / ) : arg0 ( ) ( / : ( ) ( / ) : ( ) ( / : quant ( ) ( / ) : mod ( ) ( / ) ) ) ) : ( ) ( / ) : time ( ) ( / : ( ) ( / ) ) : ( ) ( / ) : arg0 ( ) ( / ) ),به این ترتیب من در زندگی با آدم‌های جدی زیاد برخورد داشته‌ام .,( / : arg0 ( / ) : arg1 ( / : mod ( / ) ) : quant ( / ) : time ( / ) )
26,I have lived a great deal among grown - ups .,( / : arg0 ( / ) : ( / : ( / ) ) : location ( / : ( / ) ) ),我 在 大人们 中间 生活 过 很 长 时间 。,( / : arg0 ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : location ( ) ( / ) : ( ) ( / ) ),پیش آدم بزرگ‌ها زیاد مانده‌ام .,( / : arg0 ( / ) : ( / ) : location ( / : ( / : ( / ) ) ) )
27,"I have seen them intimately , close at hand .",( / : arg0 ( / ) : arg1 ( / ) : ( / : ( / ) ) : ( / : arg1 ) ),我 仔细 地 观察 过 他们 ，,( / : arg0 ( ) ( / ) : arg1 ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ),ایشان را از خیلی نزدیک دیده‌ام .,( / : arg0 ( / ) : arg1 ( / ) : ( / : ( / ) ) )
28,And that has n't much improved my opinion of them .,( / : ( / : polarity - : arg0 ( / ) : arg1 ( / : ( / : arg0 ( / ) : ( / ) ) ) : ( / ) ) ),但 这 并没有 使 我 对 他们 的 看法 有 多 大 的 改变 。,( / : ( ) ( / : arg1 ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : arg0 ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) : polarity ( ) ( / - ) ) ),اما این امر چندان تغییری در عقیده من نداده است .,( / : ( / : polarity - : arg0 ( / : ( / ) ) : arg1 ( / : ( / ) ) : ( / ) ) )
29,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .",( / : arg0 ( / ) : arg1 ( / : arg1 ( / : arg1 ( / : : ( / : : : ) ) : : arg1-of ( / : arg0 : time ( / ) ) ) ) : time ( / : arg0 : arg1 ( / : arg1-of ( / : ( / ) ) : ( / : arg1-of ( / ) : arg1-of ( / : ) ) ) : ( / ) ) ),当 我 遇到 一 个 头脑 看来 稍微 清楚 的 大人 时 ， 我 就 拿出 一直 保存 着 的 我 那 第一 号 作品 来 测试 测试 他 。,( / : arg0 ( ) ( / ) : arg1 ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) : arg1-of ( ) ( / : ( ) ( / ) : time ( ) ( / ) : arg0 ( ) ( / ) ) ) : ( ) ( / ) : ( ) ( / : arg1 ( ) ( / ) ) : time ( ) ( / : arg0 ( ) ( / ) : arg1 ( ) ( / : ( ) ( / : arg0 ( ) ( / ) : ( ) ( / ) : arg1-of ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ) ) ),وقتی به یکی از ایشان برمی‌خوردم که به نظرم کمی روشن‌بین می‌آمد ، با نشان دادن تصویر شماره ۱ خود که هنوز .نگاهش داشته‌ام او را امتحان میکردم,( / : arg0 ( / ) : arg1 ( / : arg1-of ( / : arg0 ( / : : ( / ) ) ) ) : ( / : arg0 : arg1 ( / : ( / : : ) : arg1-of ( / : arg0 : time ( / ) ) ) ) : time ( / : arg0 : arg1 ) )
30,"I would try to find out , so , if this was a person of true understanding .",( / : arg0 ( / ) : arg1 ( / : arg0 : arg1 ( / : : arg0 ( / : mod ( / ) ) : ( / ) ) ) ),我 想 知道 他 是否 真的 有 理解 能力 。,( / : arg0 ( ) ( / ) : arg1 ( ) ( / : arg1 ( ) ( / : arg1 ( ) ( / : arg0 ( ) ( / ) : arg1 ( ) ( / : mod ( ) ( / ) ) : ( ) ( / ) ) ) ) ),و می‌خواستم بدانم آيا این آدم واقعا چيزفهم است .,( / : arg0 ( / ) : arg1 ( / : arg1 ( / : ( / : ( / : mod ( / ) ) ) ) ) )
31,"But , whoever it was , he , or she , would always say : "" That is a hat . """,( / : arg2 ( / : ( / : ( / ) : ( / ) ) : arg1 ( / : domain ( / ) ) : ( / ) ) ),可是 ， 得到 的 回答 总 是 ： “ 这 是 顶 帽子 。 ”,( / : arg2 ( ) ( / : ( ) ( / ) : ( ) ( / : arg1 ( ) ( / : ( ) ( / ) : domain ( ) ( / ) ) ) : ( ) ( / ) ) ),"ولی او هم به من جواب می‌داد که : "" اين کلاه است "" .",( / : arg2 ( / : ( / ) : arg1 ( / ) : arg2 ( / : domain ( / ) ) ) )
32,"Then I would never talk to that person about boa constrictors , or primeval forests , or stars .",( / : arg0 ( / ) : arg1 ( / : op1 ( / : mod ( / ) ) : op2 ( / : mod ( / ) ) : op3 ( / ) ) : ( / : mod ( / ) ) : ( / ) : polarity - ),我 就 不 和 他 谈 巨蟒 呀 ， 原始 森林 呀 ， 或者 星星 之类 的 事 。,( / : arg0 ( ) ( / : op1 ( ) ( / ) : op2 ( ) ( / ) ) : arg1 ( ) ( / : ( ) ( / : op1 ( ) ( / : ( ) ( / ) ) : op2 ( ) ( / : mod ( ) ( / ) : ( ) ( / ) ) : op3 ( ) ( / ) ) ) : polarity ( ) ( / - ) : mod ( ) ( / ) ),آن وقت ديگر نه از مار بوآ با او حرف می‌زدم، نه از جنگل طبيعی و نه از ستاره‌ها .,( / : polarity - : arg0 ( / ) : arg1 ( / ) : ( / : op1 ( / : mod ( / ) ) : op2 ( / : mod ( / ) ) : op3 ( / ) ) : ( / ) )
33,I would bring myself down to his level .,( / : arg0 ( / ) : arg1 : ( / : poss ( / ) ) : ( / ) ),我 只得 迁就 他 的 水平 ，,( / : arg1 ( ) ( / : arg0 ( ) ( / ) : arg1 ( ) ( / : poss ( ) ( / ) ) ) ),بلکه خودم را تا سطح او پایين می‌آوردم .,( / : ( / : arg0 ( / : arg1 ) : ( / : poss ( / ) ) ) )
34,"I would talk to him about bridge , and golf , and politics , and neckties .",( / : arg0 ( / ) : arg1 ( / : op1 ( / ) : op2 ( / ) : op3 ( / ) : op4 ( / ) ) : ( / ) ),和 他们 谈 些 桥牌 呀 ， 高尔夫球 呀 ， 政治 呀 ， 领带 呀 这些 。,( / : arg0 ( ) ( / : op2 ( ) ( / ) ) : arg1 ( ) ( / : ( ) ( / ) : ( ) ( / : op1 ( ) ( / : ( ) ( / ) ) : op2 ( ) ( / : ( ) ( / ) ) : op3 ( ) ( / : ( ) ( / ) ) : op4 ( ) ( / : ( ) ( / ) ) ) : ( ) ( / ) ) ),از بازی بريج و گلف و سياست و کراوات می‌گفتم .,( / : arg0 ( / ) : arg1 ( / : op1 ( / : ( / ) ) : op2 ( / ) : op3 ( / ) : op4 ( / ) ) )
35,And the grown - up would be greatly pleased to have met such a sensible man .,( / : ( / : arg0 ( / : arg0 : arg1 ( / : ( / : ( / ) ) ) ) : arg1 ( / ) : ( / ) ) ),于是 大人们 就 十分 高兴 能 认识 我 这样 一 个 通情达理 的 人 。,( / : ( ) ( / : arg0 ( ) ( / ) : ( ) ( / ) : ( ) ( / ) : arg1 ( ) ( / : arg0 ( ) ( / : arg1 ( ) ( / : ( ) ( / : arg1 ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) ) ) ) ) ) ),و آن آدم‌ بزرگ از آشنايی با آدم عاقلی مثل من خوشحال می‌شد .,( / : ( / : arg1 ( / : ( / ) : ( / ) ) : ( / : arg0 ( / : arg1 ( / : ( / : ( / ) ) ) : ) ) ) )
36,Chapter 2 .,( / ),II 。,( / ),فصل دو,( / ( / ) )
