id,en_sent,en_amr,cn_sent,cn_amr,fa_sent,fa_amr
11,"But they answered : "" Frighten ?",( / : ( / : ( / ) : ( / : ) ) ),他们 回答 我 说 ： ” 害怕 ？,( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ),اما آنها جواب‌دادند : چرا بترسیم ؟,( / : ( / : ( / ) : ( / : : ( / : ( / ) ) ) ) )
12,"Why should any one be frightened by a hat ? """,( / : ( / ) : ( / : ( / ) ) : ( / : ( / ) ) ),“ 一 顶 帽子 有 什么 可怕 的 ？ ”,( / : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) ),کلاه که ترس ندارد .,( / : : ( / ) )
13,My drawing was not a picture of a hat .,( / : : ( / : ( / : ( / ) ) ) : ( / ) ),我 画 的 不 是 帽子 ，,( / : ( ) ( / : ( ) ( / : ( ) ( / ) ) ) : ( ) ( / ) ),اما نقاشی من شکل کلاه نبود .,( / : ( / : : ( / : ( / ) ) : ( / ) ) )
14,It was a picture of a boa constrictor digesting an elephant .,( / : ( / ) : ( / : ( / ) : ( / : ( / ) ) ) ),是 一 条 巨蟒 在 消化 着 一 头 大象 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) ),تصویر مار بوآ بود که فیلی را هضم می‌کرد .,( / : ( / : ( / ) : ( / : ( / ) ) ) )
15,"But since the grown - ups were not able to understand it , I made another drawing : I drew the inside of the boa constrictor , so that the grown - ups could see it clearly .",( / : ( / : ( / : ( / ) : ( / : ( / ) ) : ( / : ( / : : ( / : ( / ) : ( / ) ) ) ) ) : ( / : : ( / : ( / : ( / ) ) ) : ( / : ( / : : ( / ) : ( / ) ) ) ) ) ),既然 大人们 不 能够 理解 。 于是 我 又 把 巨蟒 肚子 里 的 情况 画 了 出来 ， 以便 让 大人们 能够 看懂 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) ) ) ) ) ),آن وقت من داخل شکم مار بوآ را کشیدم تا آدم بزرگ‌ها بتوانند بفهمند .,( / : ( / ) : ( / : ( / : ( / : ( / ) ) ) ) : ( / : ( / : ( / : ( / ) ) ) ) )
16,They always need to have things explained .,( / : ( / ) : ( / ) : ( / ) ),这些 大人 总是 需要 解释 。,( / : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ),آدم بزرگ‌ها همیشه نیاز به توضیح دارند .,( / : ( / : ( / ) ) : ( / : ) : ( / ) )
17,"My Drawing Number Two looked like this : The grown - ups ' response , this time , was to advise me to lay aside my drawings of boa constrictors , whether from the inside or the outside , and devote myself instead to geography , history , arithmetic and grammar .",( / : ( / : ( / : : ( / : : : ) : ) : ( / ) ) : ( / : ( / ) : ( / ) : ( / : : : ( / : ( / : : ( / : ( / : ) : ( / : ( / ) : ( / : ( / ) : ( / ) ) ) ) : ( / ) ) : ( / : : : ( / : ( / ) : ( / ) : ( / ) : ( / ) ) : ( / : ) ) ) ) : ( / : ( / ) ) ) ),我 的 第二 号 作品 是 这样 的 ： 大人们 劝 我 把 这些 画 着 开 着 肚皮 的 ， 或 闭上 肚皮 的 蟒蛇 的 图画 放 在 一边 ， 还是 把 兴趣 放 在 地理 、 历史 、 算术 、 语法 上 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) ) ) ) ) ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) ) ) ) ) ),تصویر شماره 2 من چنین بود ، آدم بزرگ‌ها به من نصیحت کردند که کشیدن مار بوآی باز یا بسته را کنار بگذارم و بیشتر به جغرافیا و تاریخ و حساب و دستور بپردازم .,( / : ( / : ( / ) : ( / : : ( / : : : ) : ( / ) ) ) : ( / : ( / : ( / ) ) : : ( / : ( / : : ( / : ( / : ( / ) : ( / : ( / ) : ( / ) ) ) ) ) : ( / : : ( / : ( / ) : ( / ) : ( / ) : ( / : ( / ) ) ) ) ) ) )
18,"That is why , at the age of six , I gave up what might have been a magnificent career as a painter .",( / : ( / ) : ( / : ( / ) : ( / : ( / ) : ( / : ( / ) ) ) : ( / : : ( / : : ( / ) ) ) ) ),就 这样 ， 在 六 岁 的 那 年 ， 我 就 放弃 了 当 画家 这 一 美好 的 职业 。,( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) ) ) : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / : ( ) ( / ) ) ),این بود که در شش سالگی از کار زیبای نقاشی دست کشیدم .,( / : ( / ) : ( / : ( / ) : ( / : ( / ) ) : ( / : ( / ) : ( / : : ( / ) ) ) ) )
19,I had been disheartened by the failure of my Drawing Number One and my Drawing Number Two .,( / : ( / : ( / : ( / : : ( / : : : ) ) : ( / : : ( / : : : ) ) : ) ) : ( / ) ),我 的 第一 号 、 第二 号 作品 的 不 成功 ， 使 我 泄 了 气 。,( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / ) ) ) ) : ( ) ( / ) ),از نامرادی تصویر شماره ۱ و تصویر شماره ۲ خود دلسرد شده بودم .,( / : ( / ) : ( / : ( / : ( / : ( / : : : ) ) : ( / : ( / : : : ) ) : ) ) )
20,"Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .",( / : ( / : : ( / ) : ( / ) : ( / ) : ( / ) ) : ( / : ( / : ( / ) : ( / ) : : ( / ) : ( / ) ) ) ),这些 大人们 ， 靠 他们 自己 什么 也 弄 不 懂 ， 还 得 老是 不断 地 给 他们 作 解释 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) ) ) ) ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) ) : ( ) ( / ( ) ) ) : ( ) ( / ) : ( ) ( / ) ) ),آدم‌ بزرگ‌ها هیچ‌وقت به تنهایی چیزی نمی‌فهمند و برای بچه‌ها هم خسته‌کننده است که همیشه به ایشان توضیح بدهند .,( / : ( / : : ( / : ( / ) ) : ( / ) : ( / ) : ( / ) ) : ( / : ( / : ( / ) : : ( / ) ) : ) )
21,"So then I chose another profession , and learned to pilot airplanes .",( / : ( / : ( / : ( / ) : ( / : ( / ) ) ) : ( / : : ( / : : ( / ) ) ) ) ),后来 ， 我 只好 选择 了 另外 一 个 职业 ， 我 学会 了 开 飞机 。,( / : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) ) ),بنابراین ناچار شدم شغل دیگری برای خود انتخاب کنم و این بود که خلبانی یاد گرفتم .,( / : ( / : ( / ) : ( / : : ( / : ( / ) ) : : ( / : ( / : : ( / ) ) ) ) ) )
22,I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .,( / : ( / : : ( / : ( / : ( / ) ) ) ) : ( / : ( / ) : ( / ) : ( / ) ) ),世界 各 地 差不多 都 飞到 过 。 的确 ， 地理学 帮 了 我 很 大 的 忙 。,( / : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) ) ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) ) ),من به همه جای دنیا کم و بیش پرواز کردم و براستی که جغرافی خیلی به دردم خورد .,( / : ( / : ( / ) : ( / : ( / ) ) : ( / ) ) : ( / : ( / ) : : ( / ) ) )
23,At a glance I can distinguish China from Arizona .,( / : ( / : ( / ) : ( / : : ( / : ) ) : ( / : : ( / : ) ) : ( / : ) ) ),我 一眼 就 能 分辨 出 中国 和 亚里桑那 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) ) ),در نگاه اول می‌توانستم چین را از آریزونا تشخیص بدهم .,( / : ( / ) : ( / : : ( / : : ( / : ) ) : ( / : : ( / : ) ) : ( / : : ( / : ) ) ) )
24,"If one gets lost in the night , such knowledge is valuable .",( / : ( / : ( / ) ) : ( / : ( / ) : ( / : ( / : ( / ) ) ) ) ),要是 夜里 迷失 了 航向 ， 这 是 很 有用 的 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) ),این اگر آدم شب راه گم کرده باشد خیلی فایده دارد .,( / : ( / ) : ( / : ( / ) : ( / ) : ( / : ( / ) ) ) : ( / ) )
25,In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence .,( / : ( / ) : ( / : ( / : ( / ) ) : ( / : ( / : ( / ) ) ) ) : ( / : ( / ) ) : ( / : ( / : ( / ) ) ) ),这样 ， 在 我 的 生活 中 ， 我 跟 许多 严肃 的 人 有 过 很多 的 接触 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ),به این ترتیب من در زندگی با آدم‌های جدی زیاد برخورد داشته‌ام .,( / : ( / ) : ( / : ( / ) ) : ( / ) : ( / ) )
26,I have lived a great deal among grown - ups .,( / : ( / ) : ( / : ( / ) ) : ( / : ( / ) ) ),我 在 大人们 中间 生活 过 很 长 时间 。,( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ),پیش آدم بزرگ‌ها زیاد مانده‌ام .,( / : ( / ) : ( / ) : ( / : ( / : ( / ) ) ) )
27,"I have seen them intimately , close at hand .",( / : ( / ) : ( / ) : ( / : ( / ) ) : ( / : ) ),我 仔细 地 观察 过 他们 ，,( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ),ایشان را از خیلی نزدیک دیده‌ام .,( / : ( / ) : ( / ) : ( / : ( / ) ) )
28,And that has n't much improved my opinion of them .,( / : ( / : : ( / ) : ( / : ( / : ( / ) : ( / ) ) ) : ( / ) ) ),但 这 并没有 使 我 对 他们 的 看法 有 多 大 的 改变 。,( / : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ) ),اما این امر چندان تغییری در عقیده من نداده است .,( / : ( / : : ( / : ( / ) ) : ( / : ( / ) ) : ( / ) ) )
29,"Whenever I met one of them who seemed to me at all clear - sighted , I tried the experiment of showing him my Drawing Number One , which I have always kept .",( / : ( / ) : ( / : ( / : ( / : : ( / : : : ) ) : : ( / : : ( / ) ) ) ) : ( / : : ( / : ( / : ( / ) ) : ( / : ( / ) : ( / : ) ) ) : ( / ) ) ),当 我 遇到 一 个 头脑 看来 稍微 清楚 的 大人 时 ， 我 就 拿出 一直 保存 着 的 我 那 第一 号 作品 来 测试 测试 他 。,( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ) ) ),وقتی به یکی از ایشان برمی‌خوردم که به نظرم کمی روشن‌بین می‌آمد ، با نشان دادن تصویر شماره ۱ خود که هنوز .نگاهش داشته‌ام او را امتحان میکردم,( / : ( / ) : ( / : ( / : ( / : : ( / ) ) ) ) : ( / : : ( / : ( / : : ) : ( / : : ( / ) ) ) ) : ( / : : ) )
30,"I would try to find out , so , if this was a person of true understanding .",( / : ( / ) : ( / : : ( / : : ( / : ( / ) ) : ( / ) ) ) ),我 想 知道 他 是否 真的 有 理解 能力 。,( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) ) ) ) ),و می‌خواستم بدانم آيا این آدم واقعا چيزفهم است .,( / : ( / ) : ( / : ( / : ( / : ( / : ( / ) ) ) ) ) )
31,"But , whoever it was , he , or she , would always say : "" That is a hat . """,( / : ( / : ( / : ( / ) : ( / ) ) : ( / : ( / ) ) : ( / ) ) ),可是 ， 得到 的 回答 总 是 ： “ 这 是 顶 帽子 。 ”,( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / ) ) ),"ولی او هم به من جواب می‌داد که : "" اين کلاه است "" .",( / : ( / : ( / ) : ( / ) : ( / : ( / ) ) ) )
32,"Then I would never talk to that person about boa constrictors , or primeval forests , or stars .",( / : ( / ) : ( / : ( / : ( / ) ) : ( / : ( / ) ) : ( / ) ) : ( / : ( / ) ) : ( / ) : ),我 就 不 和 他 谈 巨蟒 呀 ， 原始 森林 呀 ， 或者 星星 之类 的 事 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) ) ) : ( ) ( / ) : ( ) ( / ) ),آن وقت ديگر نه از مار بوآ با او حرف می‌زدم، نه از جنگل طبيعی و نه از ستاره‌ها .,( / : : ( / ) : ( / ) : ( / : ( / : ( / ) ) : ( / : ( / ) ) : ( / ) ) : ( / ) )
33,I would bring myself down to his level .,( / : ( / ) : : ( / : ( / ) ) : ( / ) ),我 只得 迁就 他 的 水平 ，,( / : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) ) ),بلکه خودم را تا سطح او پایين می‌آوردم .,( / : ( / : ( / : ) : ( / : ( / ) ) ) )
34,"I would talk to him about bridge , and golf , and politics , and neckties .",( / : ( / ) : ( / : ( / ) : ( / ) : ( / ) : ( / ) ) : ( / ) ),和 他们 谈 些 桥牌 呀 ， 高尔夫球 呀 ， 政治 呀 ， 领带 呀 这些 。,( / : ( ) ( / : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) ) ) : ( ) ( / ) ) ),از بازی بريج و گلف و سياست و کراوات می‌گفتم .,( / : ( / ) : ( / : ( / : ( / ) ) : ( / ) : ( / ) : ( / ) ) )
35,And the grown - up would be greatly pleased to have met such a sensible man .,( / : ( / : ( / : : ( / : ( / : ( / ) ) ) ) : ( / ) : ( / ) ) ),于是 大人们 就 十分 高兴 能 认识 我 这样 一 个 通情达理 的 人 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) ) ) ) ) ) ),و آن آدم‌ بزرگ از آشنايی با آدم عاقلی مثل من خوشحال می‌شد .,( / : ( / : ( / : ( / ) : ( / ) ) : ( / : ( / : ( / : ( / : ( / ) ) ) : ) ) ) )
36,Chapter 2 .,( / : ),II 。,( / ),فصل دو,( / : ( / ) )
37,"So I lived my life alone , without anyone that I could really talk to , until I had an accident with my plane in the Desert of Sahara , six years ago .",( / : ( / : ( / : ( / : : ( / ) : ( / ) ) ) : ( / : ) : ( / ) : ( / : ( / : : ( / : ( / ) ) : ( / : : ( / : : : ) ) : ( / : ( / ) : ( / : : ( / ) ) ) ) ) ) ),我 就 这样 孤独 地 生活 着 ， 没有 一 个 能 真正 谈 得 来 的 人 ， 一直 到 六 年 前 在 撒哈拉 沙漠 上 发生 了 那 次 故障 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) ) : ( ) ( / ) ) ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / : ( ) ( / ) ) ) ) ),به اين ترتيب ، من تنها و بی‌آنکه کسی را داشته باشم که حرف حسابی با او بزنم زندگی کردم ، تا شش سال پيش که در صحرای آفريقا هواپيمايم خراب شد .,( / : ( / : ( / ) : ( / : ( / ) : ( / : : : ( / : ( / : : ( / ) ) ) ) ) : ( / : ( / : ( / : ( / ) ) : ( / ) : ( / : ( / : : ( / ) ) ) : ( / : : ( / : ) ) ) ) ) )
38,Something was broken in my engine .,( / : ( / : ( / : ( / ) ) ) ),我 的 发动机 里 有 个 东西 损坏 了 。,( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) ) ) ),يکی از اسبابهای موتور هواپيما شکسته بود .,( / : ( / : ( / ) : ( / : ( / : ( / ) ) ) ) )
39,"And as I had with me neither a mechanic nor any passengers , I set myself to attempt the difficult repairs all alone .",( / : ( / : ( / : : ( / : ( / ) : ( / ) ) : ( / ) : ) : ( / : : ( / : ( / ) ) : ( / : ( / ) ) ) ) ),当时 由于 我 既 没有 带 机械师 也 没有 带 旅客 ， 我 就 试图 独自 完成 这个 困难 的 维修 工作 。,( / : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) ) ) : ( ) ( / ) ),و چون من نه تعمیرکار همراه داشتم و نه مسافر، آماده شدم تا مگر بتوانم به تنهايی از عهده اين تعمير دشوار برآيم .,( / : ( / : ( / : : ( / ) : ( / : ( / ) : ( / ) ) ) : ( / : : ( / ) : ( / : : ( / : : ( / : ( / ) ) : ( / ) ) ) ) ) )
40,It was a question of life or death for me : I had scarcely enough drinking water to last a week .,( / : : ( / : ( / ) : ( / ) ) : ( / : ( / : ( / ) : ( / : ( / : ) : ( / : ( / ) ) : ( / : ( / : : ( / ) ) : ) ) ) ) ),这 对 我 来说 是 个 生 与 死 的 问题 。 我 随身 带 的 水 只 够 饮用 一 星期 。,( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / : ( ) ( / : ( ) ( / ) : ( ) ( / ) ) ) : ( ) ( / ) ) ),اين خود برای من مسئله مرگ و زندگی بود زیرا به زحمت آب خوردن برای یه هفته داشتم .,( / : ( / : ( / ) : ( / ) ) : ( / ) : ( / ) : ( / : ( / : : ( / : ( / ) ) : ( / : : ( / ) ) : ( / ) ) ) )
41,"The first night , then , I went to sleep on the sand , a thousand miles from any human habitation .",( / : ( / ) : ( / ) : ( / : ( / ) : ( / : ) ) : ( / : ( / : ( / : ( / ) ) : ( / ) ) : ( / : : ( / ) ) : ( / ) ) ),第一 天 晚上 我 就 睡 在 这 远离 人间 烟火 的 大 沙漠 上 。,( / : ( ) ( / ) : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) ) ) : ( ) ( / ) : ( ) ( / ) ) : ( ) ( / : ( ) ( / : ( ) ( / : ( ) ( / ) ) ) ) : ( ) ( / ) ),باری ، شب اول روی شنها و در فاصله هزار ميلی آباديها خوابيدم .,( / : ( / ) : ( / : ( / ) : ( / : ( / ) : ( / : : ( / ) ) ) ) : ( / : ( / ) : ( / : ) ) )
